order_amount,num_items,distance_km,rider_experience,weather,order_time,promotion_applied,delivery_time_min
91.48,5,12.28,medium,fog,evening,N,36.0
59.59,4,3.64,medium,snow,night,Y,5.9
30.81,6,4.12,medium,clear,morning,N,13.5
95.12,5,1.35,medium,fog,night,N,6.0
34.8,5,4.13,high,fog,night,Y,8.5
40.74,1,13.3,medium,clear,evening,Y,36.9
35.01,3,4.66,low,fog,evening,N,28.5
88.69,4,4.22,low,clear,evening,Y,24.0
35.87,2,13.85,high,snow,night,N,31.8
15.19,2,5.23,medium,clear,night,N,11.3
25.76,7,7.6,medium,clear,evening,N,23.5
37.47,4,9.25,high,snow,night,N,35.3
90.55,2,10.16,medium,clear,night,N,20.0
29.76,1,2.55,high,rain,afternoon,Y,12.8
24.26,3,9.66,high,rain,evening,N,22.6
52.2,5,1.04,high,snow,night,Y,3.7
90.15,5,4.69,low,clear,morning,Y,21.1
78.03,5,13.22,low,fog,afternoon,N,45.9
81.83,7,14.71,medium,fog,evening,Y,37.9
80.82,6,10.08,medium,rain,afternoon,Y,37.2
49.62,4,4.71,medium,rain,evening,N,24.0
65.35,3,6.29,high,rain,morning,N,16.1
86.17,5,8.95,high,rain,evening,N,31.4
46.95,7,8.41,medium,clear,evening,N,33.6
26.15,4,8.69,low,clear,morning,N,23.1
53.06,1,7.5,high,clear,evening,Y,31.0
80.72,7,8.7,medium,snow,morning,Y,10.1
,4,5.85,medium,snow,evening,Y,31.5
43.6,6,4.84,low,snow,evening,Y,27.3
33.59,1,13.73,low,clear,night,Y,31.4
36.71,6,2.8,medium,rain,evening,N,18.2
47.69,6,5.83,high,fog,afternoon,N,3.7
,6,8.3,high,clear,night,N,17.1
49.65,4,11.7,high,snow,night,Y,35.9
86.36,1,2.57,high,snow,night,N,25.5
53.79,6,6.03,medium,clear,afternoon,N,12.4
32.14,7,12.81,high,snow,afternoon,N,31.0
93.6,3,11.7,low,rain,evening,Y,109.0
76.5,7,14.49,low,rain,morning,Y,47.4
98.97,6,8.77,high,snow,evening,N,32.8
33.79,6,14.69,medium,clear,afternoon,N,29.7
89.28,4,11.68,low,fog,night,N,36.0
58.57,4,1.87,medium,rain,morning,Y,13.4
46.29,4,11.77,low,snow,morning,N,44.3
57.91,5,8.04,high,fog,morning,Y,16.2
57.79,6,10.33,medium,clear,afternoon,N,22.4
54.8,6,8.85,high,clear,night,N,17.0
57.33,4,11.04,low,snow,afternoon,Y,26.8
31.49,1,11.96,high,clear,evening,N,31.0
74.33,6,8.91,low,rain,night,N,31.6
99.06,6,14.99,high,clear,night,Y,32.0
95.9,6,15.93,high,clear,morning,N,108.0
,1,8.5,medium,fog,night,N,13.1
30.34,5,1.33,low,rain,morning,N,11.7
97.7,7,1.47,high,clear,evening,N,5.5
34.01,6,0.83,low,fog,afternoon,N,6.0
49.59,6,14.14,high,clear,evening,Y,32.2
89.92,1,7.43,medium,clear,night,N,20.7
41.17,3,7.78,high,rain,night,Y,36.8
32.15,3,14.21,medium,rain,night,N,38.6
47.19,6,4.85,medium,fog,night,Y,17.5
45.65,6,14.64,medium,rain,night,Y,37.8
14.65,7,0.57,low,rain,night,Y,-0.3
77.47,5,12.08,high,rain,night,N,32.0
42.07,1,5.62,medium,clear,night,Y,14.7
81.26,1,13.6,low,clear,night,N,50.4
80.93,5,0.72,medium,snow,evening,Y,14.1
44.49,6,1.89,high,clear,afternoon,N,8.9
24.95,7,8.27,high,fog,night,N,21.3
82.28,7,5.46,medium,clear,morning,N,5.7
52.46,3,9.63,low,snow,morning,N,41.3
41.62,2,11.3,high,fog,night,N,32.9
96.74,7,1.07,medium,fog,evening,N,16.7
87.87,4,2.35,low,snow,evening,N,15.3
60.3,1,7.11,medium,fog,morning,N,30.0
27.3,1,5.2,high,clear,morning,N,2.6
66.51,3,14.25,medium,clear,afternoon,Y,36.6
16.06,2,11.88,low,rain,morning,N,51.1
93.26,4,7.67,high,snow,afternoon,N,19.4
13.55,2,11.38,medium,rain,morning,N,27.8
33.08,6,12.76,medium,rain,afternoon,Y,36.2
38.14,2,3.98,high,fog,night,N,9.4
11.58,4,10.22,high,snow,afternoon,Y,20.6
20.31,1,7.2,high,fog,evening,N,22.9
12.94,7,12.83,high,clear,morning,N,20.2
52.81,7,6.62,low,clear,night,N,22.6
70.2,4,8.7,medium,snow,night,Y,22.0
33.61,1,0.51,low,snow,morning,N,25.9
,6,12.61,low,fog,afternoon,N,29.7
90.42,1,8.19,low,rain,morning,N,26.1
25.85,1,0.66,medium,clear,afternoon,Y,11.0
39.95,2,14.4,medium,clear,afternoon,N,24.2
89.55,1,7.58,low,fog,morning,N,25.8
14.72,7,5.58,medium,rain,morning,N,29.3
11.2,4,7.25,low,rain,evening,N,18.2
63.88,7,4.38,medium,snow,morning,Y,21.1
20.58,3,4.26,medium,fog,morning,Y,16.3
87.82,6,9.41,low,clear,night,N,30.3
63.72,6,14.03,medium,clear,night,Y,22.4
73.32,5,14.04,high,fog,night,Y,23.8
45.32,4,5.17,high,fog,morning,N,19.0
38.47,6,15.77,low,clear,night,N,113.0
29.9,4,14.15,high,fog,afternoon,Y,36.1
64.85,2,13.22,low,clear,afternoon,N,35.9
41.4,7,6.89,high,fog,afternoon,N,15.0
72.9,2,13.53,high,clear,afternoon,Y,31.7
61.5,2,11.98,high,fog,night,Y,31.0
40.38,4,9.05,medium,clear,morning,N,16.1
84.14,3,11.48,medium,fog,evening,Y,45.0
62.09,3,14.1,medium,fog,morning,N,37.5
24.46,4,10.37,medium,snow,night,N,23.4
61.0,2,11.15,high,rain,morning,Y,34.9
25.3,5,2.84,medium,fog,afternoon,N,5.9
10.53,4,8.04,high,rain,evening,Y,32.6
42.17,4,6.94,low,rain,evening,N,37.0
16.46,5,10.84,medium,fog,night,Y,21.9
33.07,4,11.37,low,snow,afternoon,Y,44.5
92.37,6,2.73,high,rain,morning,N,16.3
81.7,1,14.66,high,fog,morning,Y,40.1
57.95,4,11.26,high,snow,morning,N,45.8
46.79,1,1.5,high,fog,night,N,6.3
65.64,6,2.89,medium,rain,morning,Y,9.5
99.14,2,8.98,low,snow,evening,N,28.7
43.71,2,0.82,low,snow,night,N,9.9
34.77,7,1.53,high,clear,morning,N,4.5
81.55,5,0.94,high,rain,evening,N,15.3
52.62,7,0.96,high,snow,evening,N,16.9
74.35,3,9.31,low,clear,afternoon,Y,31.4
83.87,6,14.9,high,rain,afternoon,Y,38.9
93.93,5,7.91,low,fog,afternoon,N,36.0
66.67,1,6.68,high,clear,night,Y,13.5
26.65,1,4.82,medium,snow,morning,Y,39.7
89.62,3,14.47,high,clear,afternoon,Y,36.3
68.66,3,9.77,low,fog,morning,Y,22.5
90.3,3,4.6,low,snow,afternoon,N,16.7
77.07,2,11.87,high,fog,night,Y,32.1
87.56,5,1.19,medium,rain,afternoon,Y,10.8
29.23,3,4.13,low,clear,morning,Y,19.3
32.71,6,7.39,high,rain,night,Y,26.1
42.94,4,2.56,low,snow,afternoon,N,19.6
36.65,3,3.08,medium,clear,morning,N,3.2
45.91,6,8.5,high,rain,evening,N,17.4
19.51,7,2.6,medium,fog,afternoon,N,9.1
72.07,3,5.11,low,fog,night,Y,25.2
82.44,3,11.07,medium,clear,night,N,26.6
93.49,1,1.92,high,snow,night,Y,5.1
23.51,3,6.45,high,fog,evening,N,22.1
26.73,5,9.82,low,snow,afternoon,N,37.3
35.6,7,11.09,medium,fog,afternoon,Y,23.0
67.38,3,12.2,low,snow,morning,N,39.5
79.37,2,12.81,high,clear,morning,N,28.0
89.46,6,12.92,low,snow,evening,N,34.8
86.64,2,15.54,low,rain,evening,N,112.0
38.15,1,13.29,low,rain,afternoon,Y,43.5
57.73,4,4.52,high,rain,morning,Y,24.6
20.41,6,13.98,high,snow,afternoon,N,46.3
34.7,6,7.33,high,snow,afternoon,N,16.0
70.25,3,5.39,medium,rain,afternoon,N,14.2
40.42,7,14.66,medium,fog,afternoon,Y,39.9
33.44,4,9.63,high,fog,morning,N,27.9
27.6,2,5.93,low,fog,evening,N,27.5
26.83,7,9.63,medium,rain,evening,N,58.2
18.72,5,14.27,high,clear,afternoon,Y,124.0
46.1,4,9.77,high,clear,morning,N,29.5
32.7,2,2.01,medium,snow,night,N,21.7
39.35,1,5.39,low,clear,morning,N,21.3
23.72,1,13.24,high,snow,afternoon,N,35.3
32.54,7,7.35,medium,snow,evening,N,34.0
98.62,5,7.02,low,rain,night,Y,20.6
67.12,3,1.19,medium,snow,night,N,11.7
16.53,1,1.23,high,fog,morning,Y,4.1
19.56,7,11.64,low,snow,night,Y,37.9
75.06,2,4.78,low,snow,afternoon,Y,40.8
80.04,1,6.63,low,clear,morning,Y,6.2
50.71,3,3.22,high,clear,evening,Y,16.2
31.31,2,3.71,low,clear,afternoon,N,3.1
89.03,5,13.5,medium,fog,evening,N,32.7
54.13,6,14.94,high,snow,night,N,47.5
70.14,2,0.56,high,clear,evening,Y,6.6
71.62,5,0.83,low,rain,afternoon,Y,7.1
36.91,7,12.34,high,fog,evening,N,27.7
43.97,3,9.46,medium,rain,morning,N,32.7
13.27,5,3.9,low,snow,night,Y,16.7
,6,10.77,high,clear,morning,N,25.1
35.81,1,9.02,medium,fog,night,N,24.4
42.31,2,4.88,high,clear,afternoon,N,8.2
84.06,4,14.24,low,clear,morning,Y,49.5
82.04,5,8.12,high,fog,morning,N,25.7
11.31,4,8.28,medium,fog,afternoon,N,9.4
82.07,2,13.98,high,snow,afternoon,N,40.3
36.47,6,14.25,low,fog,morning,N,32.9
37.95,2,6.0,low,fog,afternoon,Y,28.0
77.17,4,14.99,medium,fog,morning,Y,30.4
32.46,3,12.11,high,clear,afternoon,N,26.4
85.61,5,10.99,low,rain,evening,N,40.5
21.83,3,8.7,medium,snow,afternoon,Y,35.5
58.75,4,2.06,medium,snow,morning,N,6.7
41.64,7,4.35,medium,rain,afternoon,N,16.4
79.9,1,0.78,low,fog,afternoon,N,8.2
79.45,2,14.29,high,clear,morning,N,26.0
82.16,3,4.34,high,rain,evening,N,32.0
78.29,4,4.94,medium,clear,morning,N,15.7
23.58,4,3.76,medium,snow,night,Y,9.7
37.4,7,12.27,medium,fog,night,N,37.0
49.62,3,2.97,low,fog,morning,N,29.8
38.94,4,2.43,medium,fog,morning,N,18.1
84.2,6,6.92,medium,fog,morning,N,9.2
88.89,2,0.67,medium,snow,evening,N,12.0
44.76,3,6.57,high,snow,night,N,32.0
91.16,6,8.51,low,fog,morning,N,21.1
85.83,6,12.18,low,snow,afternoon,N,42.5
69.08,5,7.7,medium,snow,night,Y,31.8
11.83,4,3.21,low,clear,morning,Y,5.9
63.36,4,10.28,low,fog,night,N,29.1
12.8,6,10.59,medium,snow,afternoon,N,10.5
92.33,7,7.4,medium,rain,afternoon,Y,17.6
43.48,7,11.35,high,clear,afternoon,Y,23.9
,1,8.84,medium,rain,evening,N,20.9
61.32,3,3.33,medium,clear,night,N,21.1
89.14,5,7.5,high,snow,afternoon,Y,16.0
57.16,1,6.38,medium,rain,afternoon,Y,19.7
34.16,2,11.9,medium,snow,afternoon,Y,36.7
80.07,6,7.91,low,rain,evening,N,40.9
33.65,6,3.58,low,snow,afternoon,N,12.1
50.39,4,10.23,low,rain,morning,N,40.6
14.12,3,7.46,high,rain,night,N,23.0
66.61,6,6.09,high,clear,night,Y,7.3
75.6,6,12.36,medium,rain,night,Y,37.0
78.18,3,14.57,medium,clear,evening,Y,36.5
59.79,7,12.83,high,snow,evening,N,34.5
40.61,4,0.9,medium,fog,evening,N,11.3
76.9,7,14.01,low,clear,night,Y,31.3
16.73,7,0.96,low,rain,afternoon,N,15.7
94.05,3,10.84,medium,fog,afternoon,N,101.0
97.59,2,8.46,medium,clear,evening,N,34.0
45.93,5,0.94,medium,clear,evening,Y,-0.8
49.06,5,4.13,low,clear,night,N,29.2
85.21,4,8.87,low,rain,morning,N,16.1
63.29,1,0.55,high,clear,afternoon,Y,3.0
33.47,6,11.3,low,fog,afternoon,Y,134.0
80.12,1,13.84,low,rain,evening,Y,44.6
,4,1.02,high,snow,morning,N,7.7
57.69,1,1.05,low,fog,afternoon,N,10.6
52.08,2,4.06,high,clear,morning,N,6.7
41.8,3,14.76,low,rain,evening,Y,40.4
50.64,4,14.53,high,rain,afternoon,Y,44.0
94.63,7,11.49,medium,rain,evening,N,37.5
97.02,4,6.01,medium,fog,morning,Y,13.2
90.17,6,9.41,medium,snow,afternoon,N,37.1
58.23,7,11.18,medium,fog,morning,Y,30.5
88.6,1,2.33,medium,snow,evening,N,24.4
46.69,3,3.85,low,snow,evening,N,29.1
62.71,3,3.25,medium,fog,evening,Y,9.7
99.41,2,12.4,high,snow,afternoon,N,106.0
98.6,7,11.06,medium,fog,evening,N,36.4
37.67,3,7.26,high,clear,evening,N,23.8
81.44,2,11.9,low,fog,evening,Y,35.7
43.96,6,4.19,high,fog,morning,N,14.2
10.7,6,7.12,medium,rain,evening,Y,35.2
87.06,7,5.39,high,clear,afternoon,N,9.6
88.8,2,3.24,medium,fog,evening,N,19.3
29.78,7,14.64,high,fog,morning,N,120.0
60.58,4,13.04,low,snow,night,Y,38.6
74.78,1,13.48,medium,fog,morning,N,40.7
97.39,6,3.7,high,clear,afternoon,Y,16.2
32.29,7,10.09,medium,clear,night,N,28.9
22.42,3,10.97,high,fog,evening,N,39.1
34.24,2,11.87,high,snow,morning,N,33.9
25.76,4,14.63,high,fog,night,Y,39.0
67.78,7,9.11,medium,rain,evening,N,28.0
85.37,1,9.14,medium,rain,night,Y,29.5
12.82,2,10.95,low,clear,evening,N,30.0
15.54,3,12.08,medium,fog,evening,N,33.8
98.58,2,14.53,low,snow,morning,N,47.2
22.73,3,11.0,high,clear,afternoon,N,19.3
88.29,7,3.05,low,snow,morning,N,34.7
95.94,5,9.5,high,clear,evening,N,17.0
10.89,7,4.16,medium,rain,evening,N,11.8
15.82,2,2.75,low,clear,morning,N,19.6
39.61,5,4.91,high,snow,afternoon,Y,26.4
59.1,5,12.72,medium,clear,night,N,32.8
34.83,7,11.54,low,fog,night,Y,36.5
45.94,7,8.16,high,rain,night,Y,24.2
87.01,6,3.48,high,rain,evening,N,11.7
62.3,6,2.55,medium,clear,morning,N,8.6
31.39,7,10.01,medium,snow,night,Y,26.3
50.39,3,6.29,high,clear,afternoon,Y,22.4
40.53,1,9.55,high,rain,morning,Y,26.1
92.11,3,11.58,medium,clear,evening,Y,23.4
91.78,3,8.46,medium,clear,evening,N,20.7
13.55,7,11.47,low,snow,afternoon,Y,40.8
,5,8.7,medium,snow,evening,N,27.5
60.61,4,7.74,low,clear,evening,Y,18.7
33.41,2,3.98,medium,rain,morning,Y,18.7
14.02,7,13.21,medium,rain,evening,N,40.1
72.29,2,8.83,high,rain,afternoon,N,23.1
46.38,7,4.88,high,clear,evening,N,11.5
83.81,6,1.51,high,rain,evening,N,15.6
89.31,6,1.46,high,clear,night,Y,-5.2
15.35,7,2.78,high,fog,afternoon,N,1.7
40.41,2,10.17,medium,fog,morning,N,21.3
58.8,3,6.15,low,rain,morning,Y,22.8
11.28,2,12.73,high,fog,afternoon,N,33.6
28.62,3,8.81,medium,rain,morning,N,36.9
24.99,6,5.71,high,fog,afternoon,Y,23.4
71.91,4,12.99,medium,fog,evening,Y,33.9
31.27,4,6.99,low,rain,afternoon,N,26.8
71.87,7,13.4,low,rain,evening,N,34.8
50.91,5,4.37,low,rain,afternoon,Y,21.6
91.42,1,7.28,medium,rain,afternoon,N,22.5
72.97,4,9.96,medium,fog,morning,Y,28.2
67.06,1,3.18,high,clear,night,Y,2.6
23.9,1,7.06,medium,fog,evening,N,26.8
67.2,6,2.53,medium,snow,evening,Y,29.8
95.75,7,14.32,high,snow,night,N,37.9
97.79,1,5.88,high,fog,night,N,19.6
23.53,1,9.88,high,clear,evening,Y,29.6
70.81,1,12.16,high,fog,evening,N,29.5
20.38,6,8.55,medium,rain,night,Y,117.0
68.99,6,0.71,medium,fog,afternoon,Y,8.5
,4,10.78,medium,fog,afternoon,N,29.2
85.25,3,6.76,low,snow,morning,Y,22.1
37.33,7,2.82,medium,clear,evening,N,11.8
33.01,7,7.16,low,clear,morning,N,23.8
43.88,2,7.38,low,rain,afternoon,Y,37.9
96.76,7,4.78,high,clear,evening,Y,21.3
29.23,1,6.8,medium,clear,evening,Y,34.7
83.86,4,2.49,low,fog,afternoon,N,9.6
,6,9.85,medium,clear,evening,Y,31.8
66.08,1,6.31,medium,fog,afternoon,Y,20.9
11.12,6,4.75,high,fog,morning,N,29.8
28.9,2,14.14,medium,rain,morning,N,31.6
22.23,3,10.9,low,clear,night,N,21.9
52.13,3,9.92,medium,fog,evening,N,24.6
11.41,2,13.92,medium,snow,evening,Y,27.0
38.96,7,8.67,medium,rain,night,N,22.7
81.32,3,3.76,medium,rain,night,N,11.2
59.86,3,5.93,medium,clear,night,Y,15.9
89.93,1,8.0,low,rain,night,Y,30.4
61.1,2,11.34,high,rain,night,N,43.8
94.1,5,6.26,high,rain,evening,N,30.2
31.84,6,11.8,medium,rain,afternoon,N,29.6
66.47,2,4.73,medium,snow,morning,Y,14.2
95.36,7,11.96,medium,clear,morning,N,30.4
61.02,5,6.16,medium,snow,morning,Y,14.1
90.26,5,7.04,high,snow,morning,N,36.9
14.73,1,11.79,low,rain,morning,N,43.8
11.04,5,5.28,low,clear,afternoon,Y,14.3
10.84,6,2.95,low,clear,afternoon,N,0.9
57.23,2,2.41,medium,rain,morning,N,23.3
30.85,5,13.72,high,snow,night,N,36.6
65.28,6,6.97,low,clear,morning,N,28.6
45.32,2,14.41,high,rain,evening,N,28.7
59.63,7,13.65,low,rain,afternoon,N,36.1
95.32,2,5.24,low,clear,afternoon,Y,17.5
47.85,5,6.43,medium,clear,evening,Y,19.2
70.11,6,7.79,medium,rain,evening,N,24.4
18.84,5,14.44,medium,clear,morning,Y,36.2
89.85,1,10.51,medium,fog,morning,Y,19.5
97.28,2,10.11,medium,rain,afternoon,N,29.2
32.48,5,12.6,low,snow,evening,Y,43.0
25.3,6,14.77,medium,rain,afternoon,N,43.1
68.92,2,9.73,high,fog,night,N,29.4
81.14,2,4.36,low,clear,evening,N,9.8
27.39,5,5.93,medium,fog,morning,Y,7.1
35.26,3,10.6,high,fog,morning,Y,35.1
28.2,4,10.54,high,snow,evening,Y,36.4
75.94,4,7.76,high,fog,morning,Y,15.3
62.59,2,5.05,low,rain,afternoon,Y,34.0
97.53,5,5.13,low,snow,morning,Y,25.1
81.84,5,12.17,medium,clear,night,Y,35.6
30.58,7,6.25,low,rain,morning,N,25.0
51.59,4,7.98,high,clear,evening,N,35.4
58.56,6,5.01,high,rain,morning,N,30.3
37.4,6,2.06,medium,fog,morning,N,8.4
23.19,3,2.95,high,fog,evening,Y,20.7
78.35,6,8.28,medium,clear,afternoon,N,25.1
42.86,3,5.61,high,snow,evening,N,33.8
94.75,1,13.63,high,rain,evening,N,31.5
39.66,7,11.39,low,clear,evening,N,102.0
13.04,7,4.12,low,rain,night,Y,27.6
73.37,1,8.97,low,clear,night,Y,11.6
22.47,6,7.69,high,fog,afternoon,N,13.1
19.21,7,7.84,low,snow,night,N,15.4
89.14,1,5.12,low,clear,morning,N,14.4
96.36,1,8.66,medium,rain,evening,Y,138.0
93.74,7,3.12,low,fog,night,N,25.8
19.49,4,14.64,medium,snow,morning,N,40.8
82.09,4,4.94,low,clear,evening,N,30.3
63.58,3,4.39,high,clear,night,N,1.1
93.2,7,13.23,medium,rain,evening,Y,26.5
93.79,4,4.62,low,rain,afternoon,N,21.9
47.1,1,11.4,medium,fog,morning,Y,31.5
26.63,1,2.22,low,fog,night,N,13.2
47.18,6,13.92,medium,fog,morning,N,19.4
50.89,5,7.42,low,clear,afternoon,N,21.2
49.6,2,12.12,low,snow,evening,Y,140.0
42.22,7,9.12,medium,snow,afternoon,Y,34.9
76.92,5,14.41,medium,clear,afternoon,Y,35.4
45.83,7,9.32,low,clear,afternoon,Y,19.1
24.44,5,9.66,high,clear,morning,N,17.7
86.97,2,12.85,medium,rain,evening,Y,30.3
38.98,6,15.19,medium,clear,morning,N,110.0
39.7,7,11.82,medium,rain,evening,N,42.3
93.51,5,11.52,medium,rain,evening,N,28.1
19.11,4,11.01,medium,rain,morning,N,34.5
41.37,4,4.25,high,snow,evening,N,17.8
98.09,1,6.09,high,fog,morning,N,11.6
74.46,7,14.29,low,clear,evening,N,36.8
61.18,1,12.65,high,clear,morning,N,20.1
29.31,1,1.61,high,snow,morning,N,9.3
11.83,7,13.26,medium,fog,afternoon,N,25.1
54.31,1,14.26,low,clear,evening,Y,138.0
19.56,2,14.0,high,clear,night,N,30.2
15.09,1,12.72,low,snow,afternoon,Y,35.5
58.96,2,13.37,medium,fog,afternoon,N,35.2
61.89,1,13.64,high,snow,night,N,36.5
60.21,4,7.64,medium,snow,morning,N,24.7
66.27,1,13.23,low,fog,evening,N,42.8
64.34,3,8.93,high,fog,morning,N,28.2
35.43,3,9.82,low,clear,morning,Y,123.0
64.29,1,4.47,low,fog,night,N,13.9
34.85,7,6.02,low,rain,evening,N,25.1
17.54,5,5.54,high,fog,night,N,-0.0
85.37,1,9.69,high,fog,evening,N,16.8
56.23,4,12.26,high,clear,afternoon,N,37.1
62.59,1,10.12,high,rain,night,Y,39.8
53.55,3,11.44,low,clear,evening,Y,30.1
97.51,3,9.38,high,rain,night,N,30.8
50.73,2,1.98,high,fog,night,N,11.1
61.77,1,10.55,medium,rain,afternoon,N,52.7
68.77,3,13.33,medium,snow,morning,N,45.5
44.83,5,3.93,high,snow,morning,N,17.0
16.52,4,6.47,medium,fog,afternoon,N,13.3
41.53,1,5.53,medium,fog,night,Y,5.8
55.19,3,11.71,medium,fog,evening,Y,33.8
12.77,4,14.75,high,clear,afternoon,N,27.2
48.72,4,13.06,high,rain,night,N,24.2
94.32,2,0.82,high,rain,evening,N,8.1
36.92,4,14.14,medium,fog,morning,N,26.7
62.63,3,13.0,high,snow,morning,N,47.8
62.77,4,2.87,medium,snow,evening,N,25.9
91.19,4,12.7,medium,clear,evening,N,31.3
19.71,4,0.9,medium,snow,evening,Y,26.2
25.91,1,1.88,medium,snow,morning,Y,15.3
75.37,5,2.17,high,snow,morning,N,8.3
84.74,6,11.38,medium,clear,evening,N,39.4
36.83,4,4.24,high,clear,afternoon,N,15.3
79.23,3,12.99,medium,clear,evening,Y,24.7
16.57,7,1.82,low,fog,afternoon,Y,12.3
33.75,7,0.84,high,snow,evening,N,8.6
21.54,6,13.67,high,snow,evening,Y,30.7
91.0,5,4.67,low,snow,night,N,29.8
13.31,3,1.77,medium,snow,night,N,27.9
65.79,6,12.84,high,snow,evening,N,28.9
40.03,6,8.9,high,clear,morning,Y,23.7
88.18,7,8.63,medium,clear,afternoon,N,16.7
62.24,4,13.89,low,snow,evening,Y,41.4
73.8,6,11.12,low,fog,morning,N,27.1
85.02,2,9.53,low,rain,evening,N,28.0
82.87,1,11.76,high,snow,night,Y,33.9
69.87,2,2.65,high,snow,afternoon,Y,10.5
45.19,3,8.96,low,clear,evening,Y,28.8
36.91,7,2.67,low,fog,morning,Y,14.0
59.85,1,6.12,low,clear,morning,N,16.6
55.51,2,12.6,high,fog,evening,N,26.8
,7,5.16,low,fog,morning,Y,15.3
21.22,1,8.87,medium,clear,afternoon,N,27.0
70.84,5,3.39,medium,rain,evening,N,22.3
22.66,2,8.34,medium,fog,morning,N,15.8
11.22,1,9.62,low,snow,evening,N,36.9
44.88,3,0.72,high,fog,evening,N,14.7
70.54,4,14.43,high,snow,evening,Y,30.2
69.57,7,8.07,medium,rain,night,N,28.9
73.21,7,2.87,medium,clear,morning,Y,4.1
11.73,3,0.61,high,rain,evening,Y,16.2
37.11,3,0.62,low,fog,evening,Y,7.9
56.59,2,12.46,medium,snow,morning,N,23.3
12.18,2,14.74,high,snow,afternoon,N,29.1
28.06,2,12.05,low,clear,evening,N,33.4
65.89,2,9.7,high,fog,evening,Y,29.2
69.85,1,14.93,high,fog,morning,Y,28.5
86.7,7,10.46,low,clear,night,N,31.4
28.2,5,11.0,medium,snow,evening,N,24.4
14.19,2,4.03,low,clear,morning,N,13.6
20.65,3,1.08,low,fog,morning,N,2.7
42.31,7,10.18,low,clear,afternoon,N,22.8
69.0,1,5.68,low,rain,night,Y,23.7
49.04,4,3.43,high,fog,morning,Y,5.8
53.05,7,10.05,low,fog,night,Y,26.4
15.6,3,11.39,high,clear,afternoon,N,32.8
85.46,5,12.45,medium,clear,night,N,23.9
23.08,6,9.03,medium,clear,morning,N,26.9
59.58,3,1.99,medium,rain,evening,N,8.1
88.18,1,12.24,medium,fog,morning,N,34.2
93.62,1,5.91,low,snow,morning,Y,35.9
46.89,7,14.29,low,fog,evening,N,23.3
43.59,1,7.15,low,fog,morning,Y,17.7
22.59,6,2.95,medium,clear,evening,Y,15.9
10.42,7,6.03,high,rain,evening,N,21.6
73.09,4,5.39,low,snow,afternoon,Y,28.4
63.36,7,5.03,high,clear,afternoon,N,8.8
90.34,2,0.86,medium,fog,evening,Y,11.3
55.44,2,14.63,medium,rain,morning,Y,37.2
28.83,1,11.31,medium,fog,morning,Y,36.8
77.47,1,9.31,medium,fog,afternoon,Y,27.4
94.51,1,8.88,high,rain,night,Y,28.1
31.67,5,11.46,medium,clear,morning,Y,23.0
61.92,2,2.0,high,clear,afternoon,N,3.6
77.13,6,15.81,medium,fog,afternoon,N,118.0
